id,source,title,author,year,price,outcome,ch_row,decided_by,reason
47c4b5ffd396,manual,Elements of Therapeutics and Materia Medica,"Chapman, N.",1821,,already in CH,787,final_gate,"CH holds this work twice under Chapman, N.: r787 'Elements of Therapeutics and Materia Medica v 2 / 1824 / H.C. Carey and I. Lea / 3rd' and r788 'Discourses on the Elements of Therapeutics and Materia Medica / 1817 / James Webster / 1st'. B's item is the 2nd edition (1821, M. Cary & Sons) of that same Chapman work -- the title 'Discourses on...' was the 1st-edition form and was shortened to 'Eleme"
a377d4d2b810,manual,Flora Rustica,Thomas Martyn,1792,,INSERTED (missing from CH),,refuted_missing,"Searched ""Flora Rustica"", ""Rustica"", ""Martyn"", ""Nodder"" and ""Injurious in Husbandry"": the only Rustica row is r213 ""Medicina Rustica"" (Araujo) and the only Martyn-authored row is r2989 ""Linnaeuss System of Vegetables: 38 plates"" — neither is this work."
59f4063794c5,manual,Flora Medica,"Spratt, G.",1829,£400,INSERTED (missing from CH),,adjudicated,"CH's Flora Medica rows are other authors' works — r2808 ""Flora Medica A Botanical Account / Lindley, J. / 1838"" and r323/r326 ""The British Flora Medica / Barton, B.H. & T. Castle""; searching ""Spratt"" returns only r4397 ""Spratto, G."", so Spratt's 1829 Flora Medica is absent."
2b3983d6f061,manual,The Monthly Flora,,1846,,INSERTED (missing from CH),,refuted_missing,"Searched ""Monthly Flora"" (no matches) and the publisher/city; nothing in CH corresponds to a New York 1846 Lewis & Brown periodical flora."
fbc5ba4ca3b7,manual,Libellus de Materia Medica,"Boerhaave, Herman",1727,420,already in CH,508,adjudicated,"CH r508 ""Materia Medica: or a Series of Prescriptions / Boerhaave, H. / 1741 / W. Innys, R. Manby"" (and r507 ""Materia Medica / Boerhaave, H. / 1741 / English from last Latin Original"") is the English rendering of Boerhaave's Libellus de materia medica — same author, same work, different language/edition."
363e30583910,manual,A Greene Forest,John Maplet,1930,,excluded: duplicate of another B record,,adjudicated,
520391858e01,manual,Effects of ginkgo biloba extract on organic cerebral impairment,,1985,,already in CH,2776,refuted_inch,"r2776 'Effects of Ginkgo Biloba Extract on Organic cerebral Impairment / Libbery, J. & Co., Pub. / 1984 / John Libbey & Co., Ltd. / London' — identical distinctive title and same London Libbey imprint; CH put the publisher in the author column and B leaves author blank."
d223cde24717,manual,Handbook of the Bach flower remedies,Philip M. Chancellor,1971,,excluded: duplicate of another B record,778,refuted_inch,
22f97ebd2dbb,manual,"Shakespeare's son-in-law, John Hall, man and physician",Harriet Bloomfield Joseph,1964,,already in CH,2425,refuted_inch,"r2425 'Shakespeares Son-in-law: John Hall Man and Physician / Joseph, H. / 1964 / Archon Books' — same author surname, year and publisher; only punctuation differs."
de6a8416400f,manual,A History of Medicine,Henry E. Sigerist,1951,,excluded: duplicate of another B record,4269,refuted_inch,
0d6d3d54d0f6,manual,Wild edible mushrooms in the Blue Mountains,Catherine G Parks,1997,,INSERTED (missing from CH),,adjudicated,"The only ""wild edible mushrooms"" row is r3205 ""Biology Ecology and Social Aspects of Wild Edible Mushrooms in the Forests of the Pacific Northwest / Molina, Randy et al. / 1993"" — a different USDA title by a different author; no ""Blue Mountains"" or ""Parks"" row exists."
f5bd4fd79e31,manual,Mushrooms of the Northeastern United States and Eastern Canada,Timothy J. Baroni,2017,,excluded: duplicate of another B record,,adjudicated,
837b4210273c,manual,The observer's book of mosses and liverworts,Arthur L. Jewell,1964,,already in CH,2375,adjudicated,"CH r2375 ""Observers Book of Mosses & Liverworts / Jewell, A.L. / 1955 / Frederick Warne & Co."" is the same work by the same author; B's 1964 record is a later printing."
d1095076972a,manual,The Biology and cultivation of edible mushrooms,S. T. Chang,1978,,excluded: duplicate of another B record,,adjudicated,
3f3afadd9182,manual,A Dictionary Of The Economic Products Of India,George Watt,1890,,INSERTED (missing from CH),,adjudicated,"CH holds r4986 ""The Commercial Products of India / Watt, Sir George / 1908"" (a different, later work) and r689 Burkill's Malay Peninsula dictionary; Watt's Dictionary of the Economic Products of India itself is not listed."
71a2e74e00cc,manual,A Complete List of Shakespeare's Plants,G. Johnson,1915,,INSERTED (missing from CH),,adjudicated,"A full ""Shakespear"" sweep returns nine rows (r1395 Ellacombe, r2182 Holmesworthe, r2425 Joseph, r2507 Kerr, r3274 Moyes, r3981/r3987 Rohde, r4064 Ryden, r4116 Savage) — none is Johnson's 1915 Birmingham list."
