Title,Authors,"Year Published","Library Categories",Permalink,Status,"Publication File"
,,,,https://worldherblibrary.org/?post_type=whl_catalog&p=15782,draft,
"[Medical and astrological texts – in English] 1553",,15530000,,https://worldherblibrary.org/?post_type=whl_catalog&p=14014,draft,https://api.worldherblibrary.org/pdf/Medical-and-astrological-texts-in-English-1553-compressed.pdf
"[Medical and astrological texts – in English] 1553","Louis M. Rabinowitz.",1553,"Medical Astrology",https://worldherblibrary.org/catalog/medical-and-astrological-texts-in-english-1553/,publish,https://api.worldherblibrary.org/pdf/Medical-and-astrological-texts-in-English-1553-compressed-1.pdf
"[Medical treatise], 1615 by Robson, Thomas","Thomas Robson,",1615,"Medical Astrology",https://worldherblibrary.org/catalog/medical-treatise-1615-by-robson-thomas/,publish,https://api.worldherblibrary.org/pdf/Medical-treatise-1615-by-Robson-Thomas.pdf
"[Medical treatise], 1615 by Robson, Thomas",,16150000,,https://worldherblibrary.org/?post_type=whl_catalog&p=14016,draft,https://api.worldherblibrary.org/pdf/Medical-treatise-1615-by-Robson-Thomas-compressed.pdf
"1 of 393 Everybodys Guide To Ayurvedic Medicine",,19600000,,https://worldherblibrary.org/?post_type=whl_catalog&p=14077,draft,https://api.worldherblibrary.org/pdf/1-of-393-Everybodys-Guide-To-Ayurvedic-Medicine-compressed.pdf
"1500 Prescriptions of all kinds right and wrong","Oscar Oldberg, Ph.D., Professor of Pharmacy, Northwestern University.",1892,Apothecary,https://worldherblibrary.org/catalog/1500-prescriptions-of-all-kinds-right-and-wrong/,publish,https://api.worldherblibrary.org/pdf/1500-prescriptions-of-all-kinds-right-and-wrong-compressed.pdf
"2 of 456 The plant lore and garden craft of Shakespeare","Henry N. Ellacombe",1896,Plant-Lore,https://worldherblibrary.org/catalog/2-of-456-the-plant-lore-and-garden-craft-of-shakespeare/,publish,https://api.worldherblibrary.org/pdf/2-of-456-The-plant-lore-and-garden-craft-of-Shakespeare-compressed.pdf
"5th International Herb Symposium Jun23 25 2000",,20000000,,https://worldherblibrary.org/?post_type=whl_catalog&p=14019,draft,https://api.worldherblibrary.org/pdf/5th_International_Herb_Symposium_Jun23-25_2000_254p.pdf
"5th International Herb Symposium Jun23 25 2000",,20000000,,https://worldherblibrary.org/?post_type=whl_catalog&p=14233,draft,https://api.worldherblibrary.org/pdf/5th_International_Herb_Symposium_Jun23-25_2000_254p-compressed.pdf
"A Biographical Index of British and Irish Botanists","James Britten, F.L.S & G. S. Boulger, F.L.S, F.G.S.",1893,"Botanists and Plant Hunters",https://worldherblibrary.org/catalog/a-biographical-index-of-british-and-irish-botanists/,publish,https://api.worldherblibrary.org/pdf/A-biographical-index-of-British-and-Irish-botanists-compressed.pdf
"A Book Of Simples","Lewer, Henry William",1878,"Herbal Simples",https://worldherblibrary.org/catalog/a-book-of-simples/,publish,https://api.worldherblibrary.org/pdf/A-book-of-simples.-by-Lewer-Henry-William-ed-2-compressed.pdf
"A Book On Vegetable Dyes","Ethel M. Mairet",1916,"Dye Plants",https://worldherblibrary.org/catalog/a-book-on-vegetable-dyes/,publish,https://api.worldherblibrary.org/pdf/A-book-on-vegetable-dyes-compressed.pdf
"A botanical arrangement of British plants including the uses of each species in medicine",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=13962,draft,https://api.worldherblibrary.org/pdf/A-botanical-arrangement-of-British-plants-including-the-uses-of-each-species-in-medicine-compressed.pdf
"A Botanical Arrangement Of British Plants vol 1","Jonathan Stokes, William Withering",1787,"Medicinal Plants",https://worldherblibrary.org/catalog/a-botanical-arrangement-of-british-plants-vol-1/,publish,https://api.worldherblibrary.org/pdf/A-botanical-arrangement-of-British-plants-vol-1-copy-compressed.pdf
"A Botanical Arrangement of British Plants Vol. 1",,17870000,,https://worldherblibrary.org/?post_type=whl_catalog&p=14046,draft,https://api.worldherblibrary.org/pdf/A-botanical-arrangement-of-British-plants-vol-1-copy-compressed.pdf
"A Botanical Arrangement Of British Plants Vol. 1","William Withering",1787,"Medicinal Plants",https://worldherblibrary.org/?post_type=whl_catalog&p=5338,draft,
"A Botanical Arrangement Of British Plants Vol. 2","Jonathan Stokes",1787,"Medicinal Plants",https://worldherblibrary.org/catalog/a-botanical-arrangement-of-british-plants-vol-2/,publish,https://api.worldherblibrary.org/pdf/Botanical-arrangement-of-all-the-vegetables-naturally-growing-in-Great-Britain-vol-2-compressed.pdf
"A Botanical Arrangement Of British Plants Vol. 3","William Withering",1870,"Medicinal Plants",https://worldherblibrary.org/catalog/a-botanical-arrangement-of-british-plants-vol-3/,publish,https://api.worldherblibrary.org/pdf/Botanical-arrangement-of-all-the-vegetables-naturally-growing-in-Great-Britain-vol-3-compressed.pdf
"A Botanical Dictionary","Emos Eaton",1819,"Medical Botany",https://worldherblibrary.org/catalog/a-botanical-dictionary/,publish,https://api.worldherblibrary.org/pdf/A-botanical-dictionary-compressed.pdf
"A botanical dictionary","Louis-Claude Richard",1817,"Herbal Medicine",https://worldherblibrary.org/catalog/a-botanical-dictionary-2/,publish,https://api.worldherblibrary.org/pdf/A-botanical-dictionary-compressed.pdf
"A Botanical Index To All The Medicinal Plants, Barks, Roots, Seeds And Flowers Usually Kept By Druggists","Allan Pollock",1873,"Medicinal Plants",https://worldherblibrary.org/catalog/a-botanical-index-to-all-the-medicinal-plants-barks-roots-seeds-and-flowers-usually-kept-by-druggists/,publish,https://api.worldherblibrary.org/pdf/A-botanical-index-to-all-the-medicinal-plants-barks-roots-seeds-and-flowers-usually-kept-by-druggists-compressed.pdf
"A Botanical Materia Medica Vol. 1","Jonathan Stokes",1812,"Materia Medica",https://worldherblibrary.org/catalog/a-botanical-materia-medica-vol-1/,publish,https://api.worldherblibrary.org/pdf/A-botanical-materia-medica-vol-1-compressed.pdf
"A Botanical Materia Medica Vol. 2","Jonathan Stokes",1812,"Materia Medica",https://worldherblibrary.org/catalog/a-botanical-materia-medica-vol-2/,publish,https://api.worldherblibrary.org/pdf/A-botanical-materia-medica-vol-2-compressed.pdf
"A Botanical Materia Medica Vol. 3","Jonathan Stokes",1812,"Materia Medica",https://worldherblibrary.org/catalog/a-botanical-materia-medica-vol-3/,publish,https://api.worldherblibrary.org/pdf/A-botanical-materia-medica-vol-3-compressed.pdf
"A Botanical Materia Medica Vol. 4","Jonathan Stokes",1812,"Materia Medica",https://worldherblibrary.org/catalog/a-botanical-materia-medica-vol-4/,publish,https://api.worldherblibrary.org/pdf/A-botanical-materia-medica-vol-4-compressed.pdf
"A Brief Sketch Of The Ancient History Of Medicine","P. Lodwick Burchell",1878,History,https://worldherblibrary.org/catalog/a-brief-sketch-of-the-ancient-history-of-medicine/,publish,https://api.worldherblibrary.org/pdf/A-brief-sketch-of-the-ancient-history-of-medicine-compressed.pdf
"A brief sketch of the early history of medicine","P. Lodwick Burchell",1877,,https://worldherblibrary.org/catalog/a-brief-sketch-of-the-early-history-of-guelph/,publish,https://api.worldherblibrary.org/pdf/A-brief-sketch-of-the-ancient-history-of-medicine-compressed-1.pdf
